Soilcolor,Ph,K,P,N,Zn,S,Humidity_Winter,Humidity_Spring,Humidity_Summer,Humidity_Autumn,TempMax_Winter,TempMax_Spring,TempMax_Summer,TempMax_Autumn,TempMin_Winter,TempMin_Spring,TempMin_Summer,TempMin_Autumn,Rainfall_Winter,Rainfall_Spring,Rainfall_Summer,Rainfall_Autumn,WindDir_10m,SoilMoisture_Top,CloudCover,WindSpeed_2m,SurfacePressure,Crop_Label,Seasonal Average (TempMax),Seasonal Average (TempMin),Unnamed: 31,Soil_Fertility_Index,Macro_to_Micro,Humidity_Avg,Rainfall_Avg,TempRange_Winter,TempRange_Spring,TempRange_Summer,TempRange_Autumn,TempMax_Avg,TempMin_Avg,Rainfall_Temp_Ratio
0.614,0.412,0.149,0.085,0.329,0.023,0.148,0.319,0.921,0.439,0.164,0.817,0.383,0.000,0.280,0.358,0.468,0.316,0.177,0.745,0.895,0.495,0.591,0.010,0.750,0.957,0.033,0.298,0.000,0.525,0.382,,0.131,0.096,0.458,0.550,0.983,0.474,0.162,0.735,0.455,0.340,0.598
0.773,0.226,0.059,0.003,0.329,0.078,0.085,0.319,0.921,0.439,0.164,0.817,0.383,0.000,0.280,0.358,0.468,0.316,0.177,0.745,0.895,0.495,0.591,0.010,0.750,0.957,0.033,0.298,0.000,0.525,0.382,,0.042,0.046,0.458,0.550,0.983,0.474,0.162,0.735,0.455,0.340,0.598
0.614,0.445,0.017,0.008,0.329,0.019,0.091,0.319,0.921,0.439,0.164,0.817,0.383,0.000,0.280,0.358,0.468,0.316,0.177,0.745,0.895,0.495,0.591,0.010,0.750,0.957,0.033,0.298,0.000,0.525,0.382,,0.012,0.021,0.458,0.550,0.983,0.474,0.162,0.735,0.455,0.340,0.598
0.568,0.440,0.036,0.006,0.329,0.038,0.084,0.185,0.039,0.151,0.177,0.000,0.000,1.000,0.541,0.146,0.197,0.246,0.178,0.421,0.081,0.178,0.137,0.228,0.607,0.903,0.039,0.173,0.000,0.000,0.193,,0.026,0.036,0.141,0.031,0.000,0.365,1.000,1.000,0.000,0.190,0.195
0.568,0.355,0.046,0.006,0.329,0.059,0.075,0.185,0.039,0.151,0.177,0.000,0.000,1.000,0.541,0.146,0.197,0.246,0.178,0.421,0.081,0.178,0.137,0.228,0.607,0.903,0.039,0.173,0.000,0.000,0.193,,0.033,0.045,0.141,0.031,0.000,0.365,1.000,1.000,0.000,0.190,0.195
0.386,0.402,0.019,0.016,0.329,0.022,0.090,0.185,0.039,0.151,0.177,0.000,0.000,1.000,0.541,0.146,0.197,0.246,0.178,0.421,0.081,0.178,0.137,0.228,0.607,0.903,0.039,0.173,0.000,0.000,0.193,,0.016,0.025,0.141,0.031,0.000,0.365,1.000,1.000,0.000,0.190,0.195
0.568,0.381,0.075,0.003,0.329,0.035,0.123,0.185,0.039,0.151,0.177,0.000,0.000,1.000,0.541,0.146,0.197,0.246,0.178,0.421,0.081,0.178,0.137,0.228,0.607,0.903,0.039,0.173,0.000,0.000,0.193,,0.053,0.047,0.141,0.031,0.000,0.365,1.000,1.000,0.000,0.190,0.195
0.545,0.321,0.167,0.001,0.329,0.025,0.088,0.185,0.039,0.151,0.177,0.000,0.000,1.000,0.541,0.146,0.197,0.246,0.178,0.421,0.081,0.178,0.137,0.228,0.607,0.903,0.039,0.173,0.000,0.000,0.193,,0.121,0.145,0.141,0.031,0.000,0.365,1.000,1.000,0.000,0.190,0.195
0.614,0.367,0.051,0.016,0.329,0.029,0.094,0.185,0.039,0.151,0.177,0.000,0.000,1.000,0.541,0.146,0.197,0.246,0.178,0.421,0.081,0.178,0.137,0.228,0.607,0.903,0.039,0.173,0.000,0.000,0.193,,0.039,0.047,0.141,0.031,0.000,0.365,1.000,1.000,0.000,0.190,0.195
0.864,0.402,0.007,0.010,0.329,0.028,0.098,0.185,0.039,0.151,0.177,0.000,0.000,1.000,0.541,0.146,0.197,0.246,0.178,0.421,0.081,0.178,0.137,0.228,0.607,0.903,0.039,0.173,0.000,0.000,0.193,,0.005,0.011,0.141,0.031,0.000,0.365,1.000,1.000,0.000,0.190,0.195
0.614,0.357,0.113,0.005,0.457,0.042,0.076,0.000,0.000,0.000,0.000,0.610,0.053,0.114,0.000,0.000,0.000,0.000,0.000,0.745,0.180,0.000,0.279,0.213,0.464,0.000,1.000,0.000,0.000,0.281,0.000,,0.082,0.107,0.000,0.000,0.909,1.000,0.547,0.745,0.188,0.000,0.117
0.864,0.476,0.114,0.103,0.329,0.024,0.096,0.185,0.039,0.151,0.177,0.000,0.000,1.000,0.541,0.146,0.197,0.246,0.178,0.421,0.081,0.178,0.137,0.228,0.607,0.903,0.039,0.173,0.000,0.000,0.193,,0.110,0.123,0.141,0.031,0.000,0.365,1.000,1.000,0.000,0.190,0.195
0.386,0.388,0.093,0.009,0.329,0.018,0.097,0.185,0.039,0.151,0.177,0.000,0.000,1.000,0.541,0.146,0.197,0.246,0.178,0.421,0.081,0.178,0.137,0.228,0.607,0.903,0.039,0.173,0.000,0.000,0.193,,0.068,0.080,0.141,0.031,0.000,0.365,1.000,1.000,0.000,0.190,0.195
0.614,0.417,0.026,0.009,0.329,0.018,0.099,0.185,0.039,0.151,0.177,0.000,0.000,1.000,0.541,0.146,0.197,0.246,0.178,0.421,0.081,0.178,0.137,0.228,0.607,0.903,0.039,0.173,0.000,0.000,0.193,,0.019,0.026,0.141,0.031,0.000,0.365,1.000,1.000,0.000,0.190,0.195
0.864,0.317,0.225,0.005,0.329,0.013,0.109,0.185,0.039,0.151,0.177,0.000,0.000,1.000,0.541,0.146,0.197,0.246,0.178,0.421,0.081,0.178,0.137,0.228,0.607,0.903,0.039,0.173,0.000,0.000,0.193,,0.165,0.167,0.141,0.031,0.000,0.365,1.000,1.000,0.000,0.190,0.195
0.614,0.402,0.175,0.096,0.329,0.042,0.140,0.185,0.039,0.151,0.177,0.000,0.000,1.000,0.541,0.146,0.197,0.246,0.178,0.421,0.081,0.178,0.137,0.228,0.607,0.903,0.039,0.173,0.000,0.000,0.193,,0.153,0.113,0.141,0.031,0.000,0.365,1.000,1.000,0.000,0.190,0.195
0.614,0.381,0.147,0.015,0.357,0.075,0.093,0.000,0.000,0.000,0.000,0.610,0.053,0.114,0.000,0.000,0.000,0.000,0.000,0.745,0.180,0.000,0.279,0.213,0.464,0.000,1.000,0.000,0.000,0.281,0.000,,0.110,0.107,0.000,0.000,0.909,1.000,0.547,0.745,0.188,0.000,0.117
0.045,0.214,0.046,0.011,0.329,0.068,0.102,0.185,0.039,0.151,0.177,0.000,0.000,1.000,0.541,0.146,0.197,0.246,0.178,0.421,0.081,0.178,0.137,0.228,0.607,0.903,0.039,0.173,0.000,0.000,0.193,,0.034,0.033,0.141,0.031,0.000,0.365,1.000,1.000,0.000,0.190,0.195
0.386,0.455,0.065,0.017,0.329,0.030,0.079,0.185,0.039,0.151,0.177,0.000,0.000,1.000,0.541,0.146,0.197,0.246,0.178,0.421,0.081,0.178,0.137,0.228,0.607,0.903,0.039,0.173,0.000,0.000,0.193,,0.049,0.070,0.141,0.031,0.000,0.365,1.000,1.000,0.000,0.190,0.195
0.614,0.302,0.015,0.010,0.329,0.067,0.050,0.185,0.039,0.151,0.177,0.000,0.000,1.000,0.541,0.146,0.197,0.246,0.178,0.421,0.081,0.178,0.137,0.228,0.607,0.903,0.039,0.173,0.000,0.000,0.193,,0.011,0.028,0.141,0.031,0.000,0.365,1.000,1.000,0.000,0.190,0.195
0.614,0.417,0.316,0.215,0.329,0.038,0.132,0.185,0.039,0.151,0.177,0.000,0.000,1.000,0.541,0.146,0.197,0.246,0.178,0.421,0.081,0.178,0.137,0.228,0.607,0.903,0.039,0.173,0.000,0.000,0.193,,0.290,0.229,0.141,0.031,0.000,0.365,1.000,1.000,0.000,0.190,0.195
0.614,0.407,0.118,0.075,0.329,0.036,0.089,0.185,0.039,0.151,0.177,0.000,0.000,1.000,0.541,0.146,0.197,0.246,0.178,0.421,0.081,0.178,0.137,0.228,0.607,0.903,0.039,0.173,0.000,0.000,0.193,,0.105,0.121,0.141,0.031,0.000,0.365,1.000,1.000,0.000,0.190,0.195
0.568,0.369,0.069,0.005,0.329,0.030,0.101,0.185,0.039,0.151,0.177,0.000,0.000,1.000,0.541,0.146,0.197,0.246,0.178,0.421,0.081,0.178,0.137,0.228,0.607,0.903,0.039,0.173,0.000,0.000,0.193,,0.049,0.054,0.141,0.031,0.000,0.365,1.000,1.000,0.000,0.190,0.195
0.864,0.440,0.023,0.007,0.329,0.020,0.093,0.185,0.039,0.151,0.177,0.000,0.000,1.000,0.541,0.146,0.197,0.246,0.178,0.421,0.081,0.178,0.137,0.228,0.607,0.903,0.039,0.173,0.000,0.000,0.193,,0.016,0.025,0.141,0.031,0.000,0.365,1.000,1.000,0.000,0.190,0.195
0.614,0.429,0.182,0.015,0.343,0.046,0.059,0.000,0.000,0.000,0.000,0.610,0.053,0.114,0.000,0.000,0.000,0.000,0.000,0.745,0.180,0.000,0.279,0.213,0.464,0.000,1.000,0.000,0.000,0.281,0.000,,0.136,0.205,0.000,0.000,0.909,1.000,0.547,0.745,0.188,0.000,0.117
0.614,0.302,0.109,0.009,0.329,0.021,0.111,0.185,0.039,0.151,0.177,0.000,0.000,1.000,0.541,0.146,0.197,0.246,0.178,0.421,0.081,0.178,0.137,0.228,0.607,0.903,0.039,0.173,0.000,0.000,0.193,,0.080,0.080,0.141,0.031,0.000,0.365,1.000,1.000,0.000,0.190,0.195
0.614,0.274,0.196,0.003,0.329,0.067,0.111,0.185,0.039,0.151,0.177,0.000,0.000,1.000,0.541,0.146,0.197,0.246,0.178,0.421,0.081,0.178,0.137,0.228,0.607,0.903,0.039,0.173,0.000,0.000,0.193,,0.143,0.122,0.141,0.031,0.000,0.365,1.000,1.000,0.000,0.190,0.195
0.614,0.312,0.058,0.005,0.329,0.027,0.102,0.000,0.000,0.000,0.000,0.610,0.053,0.114,0.000,0.000,0.000,0.000,0.000,0.745,0.180,0.000,0.279,0.213,0.464,0.000,1.000,0.000,0.000,0.281,0.000,,0.041,0.046,0.000,0.000,0.909,1.000,0.547,0.745,0.188,0.000,0.117
0.864,0.405,0.028,0.008,0.329,0.012,0.091,0.185,0.039,0.151,0.177,0.000,0.000,1.000,0.541,0.146,0.197,0.246,0.178,0.421,0.081,0.178,0.137,0.228,0.607,0.903,0.039,0.173,0.000,0.000,0.193,,0.020,0.031,0.141,0.031,0.000,0.365,1.000,1.000,0.000,0.190,0.195
0.864,0.343,0.066,0.004,0.329,0.020,0.101,0.185,0.039,0.151,0.177,0.000,0.000,1.000,0.541,0.146,0.197,0.246,0.178,0.421,0.081,0.178,0.137,0.228,0.607,0.903,0.039,0.173,0.000,0.000,0.193,,0.047,0.054,0.141,0.031,0.000,0.365,1.000,1.000,0.000,0.190,0.195
0.614,0.336,0.157,0.006,0.329,0.016,0.141,0.185,0.039,0.151,0.177,0.000,0.000,1.000,0.541,0.146,0.197,0.246,0.178,0.421,0.081,0.178,0.137,0.228,0.607,0.903,0.039,0.173,0.000,0.000,0.193,,0.114,0.090,0.141,0.031,0.000,0.365,1.000,1.000,0.000,0.190,0.195
0.614,0.333,0.072,0.009,0.500,0.075,0.067,0.000,0.000,0.000,0.000,0.610,0.053,0.114,0.000,0.000,0.000,0.000,0.000,0.745,0.180,0.000,0.279,0.213,0.464,0.000,1.000,0.000,0.000,0.281,0.000,,0.053,0.069,0.000,0.000,0.909,1.000,0.547,0.745,0.188,0.000,0.117
0.818,0.405,0.123,0.019,0.386,0.070,0.109,0.000,0.000,0.000,0.000,0.610,0.053,0.114,0.000,0.000,0.000,0.000,0.000,0.745,0.180,0.000,0.279,0.213,0.464,0.000,1.000,0.000,0.000,0.281,0.000,,0.093,0.080,0.000,0.000,0.909,1.000,0.547,0.745,0.188,0.000,0.117
0.614,0.333,0.096,0.015,0.514,0.064,0.109,0.000,0.000,0.000,0.000,0.610,0.053,0.114,0.000,0.000,0.000,0.000,0.000,0.745,0.180,0.000,0.279,0.213,0.464,0.000,1.000,0.000,0.000,0.281,0.000,,0.072,0.064,0.000,0.000,0.909,1.000,0.547,0.745,0.188,0.000,0.117
0.818,0.357,0.068,0.008,0.486,0.064,0.067,0.000,0.000,0.000,0.000,0.610,0.053,0.114,0.000,0.000,0.000,0.000,0.000,0.745,0.180,0.000,0.279,0.213,0.464,0.000,1.000,0.000,0.000,0.281,0.000,,0.049,0.068,0.000,0.000,0.909,1.000,0.547,0.745,0.188,0.000,0.117
0.614,0.500,0.095,0.064,0.186,0.026,0.143,0.000,0.000,0.000,0.000,0.610,0.053,0.114,0.000,0.000,0.000,0.000,0.000,0.745,0.180,0.000,0.279,0.213,0.464,0.000,1.000,0.000,0.000,0.281,0.000,,0.085,0.064,0.000,0.000,0.909,1.000,0.547,0.745,0.188,0.000,0.117
0.818,0.333,0.080,0.005,0.386,0.059,0.050,0.000,0.000,0.000,0.000,0.610,0.053,0.114,0.000,0.000,0.000,0.000,0.000,0.745,0.180,0.000,0.279,0.213,0.464,0.000,1.000,0.000,0.000,0.281,0.000,,0.058,0.099,0.000,0.000,0.909,1.000,0.547,0.745,0.188,0.000,0.117
0.614,0.381,0.097,0.010,0.314,0.051,0.076,0.000,0.000,0.000,0.000,0.610,0.053,0.114,0.000,0.000,0.000,0.000,0.000,0.745,0.180,0.000,0.279,0.213,0.464,0.000,1.000,0.000,0.000,0.281,0.000,,0.071,0.091,0.000,0.000,0.909,1.000,0.547,0.745,0.188,0.000,0.117
0.818,0.357,0.145,0.014,0.314,0.068,0.059,0.000,0.000,0.000,0.000,0.610,0.053,0.114,0.000,0.000,0.000,0.000,0.000,0.745,0.180,0.000,0.279,0.213,0.464,0.000,1.000,0.000,0.000,0.281,0.000,,0.108,0.150,0.000,0.000,0.909,1.000,0.547,0.745,0.188,0.000,0.117
0.818,0.405,0.133,0.014,0.386,0.070,0.050,0.000,0.000,0.000,0.000,0.610,0.053,0.114,0.000,0.000,0.000,0.000,0.000,0.745,0.180,0.000,0.279,0.213,0.464,0.000,1.000,0.000,0.000,0.281,0.000,,0.099,0.152,0.000,0.000,0.909,1.000,0.547,0.745,0.188,0.000,0.117
0.614,0.476,0.122,0.013,0.243,0.046,0.042,0.000,0.000,0.000,0.000,0.610,0.053,0.114,0.000,0.000,0.000,0.000,0.000,0.745,0.180,0.000,0.279,0.213,0.464,0.000,1.000,0.000,0.000,0.281,0.000,,0.091,0.179,0.000,0.000,0.909,1.000,0.547,0.745,0.188,0.000,0.117
0.614,0.421,0.040,0.017,0.329,0.030,0.095,0.185,0.039,0.151,0.177,0.000,0.000,1.000,0.541,0.146,0.197,0.246,0.178,0.421,0.081,0.178,0.137,0.228,0.607,0.903,0.039,0.173,0.000,0.000,0.193,,0.032,0.039,0.141,0.031,0.000,0.365,1.000,1.000,0.000,0.190,0.195
0.614,0.300,0.056,0.007,0.329,0.050,0.120,0.000,0.000,0.000,0.000,0.610,0.053,0.114,0.000,0.000,0.000,0.000,0.000,0.745,0.180,0.000,0.279,0.213,0.464,0.000,1.000,0.000,0.000,0.281,0.000,,0.040,0.035,0.000,0.000,0.909,1.000,0.547,0.745,0.188,0.000,0.117
0.614,0.464,0.007,0.108,0.329,0.015,0.046,0.185,0.039,0.151,0.177,0.000,0.000,1.000,0.541,0.146,0.197,0.246,0.178,0.421,0.081,0.178,0.137,0.228,0.607,0.903,0.039,0.173,0.000,0.000,0.193,,0.032,0.086,0.141,0.031,0.000,0.365,1.000,1.000,0.000,0.190,0.195
0.614,0.476,0.057,0.006,0.257,0.029,0.050,0.000,0.000,0.000,0.000,0.610,0.053,0.114,0.000,0.000,0.000,0.000,0.000,0.745,0.180,0.000,0.279,0.213,0.464,0.000,1.000,0.000,0.000,0.281,0.000,,0.041,0.088,0.000,0.000,0.909,1.000,0.547,0.745,0.188,0.000,0.117
0.864,0.381,0.069,0.005,0.300,0.031,0.067,0.000,0.000,0.000,0.000,0.610,0.053,0.114,0.000,0.000,0.000,0.000,0.000,0.745,0.180,0.000,0.279,0.213,0.464,0.000,1.000,0.000,0.000,0.281,0.000,,0.049,0.080,0.000,0.000,0.909,1.000,0.547,0.745,0.188,0.000,0.117
0.614,0.381,0.132,0.004,0.414,0.073,0.050,0.000,0.000,0.000,0.000,0.610,0.053,0.114,0.000,0.000,0.000,0.000,0.000,0.745,0.180,0.000,0.279,0.213,0.464,0.000,1.000,0.000,0.000,0.281,0.000,,0.096,0.145,0.000,0.000,0.909,1.000,0.547,0.745,0.188,0.000,0.117
0.614,0.429,0.418,0.210,0.300,0.070,0.059,0.000,0.000,0.000,0.000,0.610,0.053,0.114,0.000,0.000,0.000,0.000,0.000,0.745,0.180,0.000,0.279,0.213,0.464,0.000,1.000,0.000,0.000,0.281,0.000,,0.364,0.476,0.000,0.000,0.909,1.000,0.547,0.745,0.188,0.000,0.117
0.773,0.333,0.070,0.023,0.329,0.022,0.134,0.185,0.039,0.151,0.177,0.000,0.000,1.000,0.541,0.146,0.197,0.246,0.178,0.421,0.081,0.178,0.137,0.228,0.607,0.903,0.039,0.173,0.000,0.000,0.193,,0.055,0.046,0.141,0.031,0.000,0.365,1.000,1.000,0.000,0.190,0.195
0.773,0.312,0.682,0.373,0.329,0.074,0.185,0.185,0.039,0.151,0.177,0.000,0.000,1.000,0.541,0.146,0.197,0.246,0.178,0.421,0.081,0.178,0.137,0.228,0.607,0.903,0.039,0.173,0.000,0.000,0.193,,0.605,0.328,0.141,0.031,0.000,0.365,1.000,1.000,0.000,0.190,0.195
0.614,0.317,0.169,0.030,0.329,0.043,0.145,0.185,0.039,0.151,0.177,0.000,0.000,1.000,0.541,0.146,0.197,0.246,0.178,0.421,0.081,0.178,0.137,0.228,0.607,0.903,0.039,0.173,0.000,0.000,0.193,,0.130,0.093,0.141,0.031,0.000,0.365,1.000,1.000,0.000,0.190,0.195
0.614,0.488,0.030,0.004,0.329,0.022,0.106,0.185,0.039,0.151,0.177,0.000,0.000,1.000,0.541,0.146,0.197,0.246,0.178,0.421,0.081,0.178,0.137,0.228,0.607,0.903,0.039,0.173,0.000,0.000,0.193,,0.020,0.025,0.141,0.031,0.000,0.365,1.000,1.000,0.000,0.190,0.195
0.614,0.405,0.089,0.004,0.371,0.040,0.059,0.000,0.000,0.000,0.000,0.610,0.053,0.114,0.000,0.000,0.000,0.000,0.000,0.745,0.180,0.000,0.279,0.213,0.464,0.000,1.000,0.000,0.000,0.281,0.000,,0.064,0.106,0.000,0.000,0.909,1.000,0.547,0.745,0.188,0.000,0.117
0.864,0.429,0.180,0.123,0.243,0.046,0.084,0.000,0.000,0.000,0.000,0.610,0.053,0.114,0.000,0.000,0.000,0.000,0.000,0.745,0.180,0.000,0.279,0.213,0.464,0.000,1.000,0.000,0.000,0.281,0.000,,0.164,0.186,0.000,0.000,0.909,1.000,0.547,0.745,0.188,0.000,0.117
0.864,0.357,0.134,0.009,0.257,0.044,0.059,0.000,0.000,0.000,0.000,0.610,0.053,0.114,0.000,0.000,0.000,0.000,0.000,0.745,0.180,0.000,0.279,0.213,0.464,0.000,1.000,0.000,0.000,0.281,0.000,,0.098,0.153,0.000,0.000,0.909,1.000,0.547,0.745,0.188,0.000,0.117
0.614,0.312,0.094,0.022,0.329,0.035,0.116,0.185,0.039,0.151,0.177,0.000,0.000,1.000,0.541,0.146,0.197,0.246,0.178,0.421,0.081,0.178,0.137,0.228,0.607,0.903,0.039,0.173,0.000,0.000,0.193,,0.073,0.067,0.141,0.031,0.000,0.365,1.000,1.000,0.000,0.190,0.195
0.614,0.393,0.027,0.008,0.329,0.036,0.105,0.185,0.039,0.151,0.177,0.000,0.000,1.000,0.541,0.146,0.197,0.246,0.178,0.421,0.081,0.178,0.137,0.228,0.607,0.903,0.039,0.173,0.000,0.000,0.193,,0.019,0.023,0.141,0.031,0.000,0.365,1.000,1.000,0.000,0.190,0.195
0.614,0.369,0.024,0.008,0.329,0.039,0.117,0.185,0.039,0.151,0.177,0.000,0.000,1.000,0.541,0.146,0.197,0.246,0.178,0.421,0.081,0.178,0.137,0.228,0.607,0.903,0.039,0.173,0.000,0.000,0.193,,0.017,0.017,0.141,0.031,0.000,0.365,1.000,1.000,0.000,0.190,0.195
0.614,0.405,0.143,0.012,0.443,0.057,0.093,0.000,0.000,0.000,0.000,0.610,0.053,0.114,0.000,0.000,0.000,0.000,0.000,0.745,0.180,0.000,0.279,0.213,0.464,0.000,1.000,0.000,0.000,0.281,0.000,,0.106,0.109,0.000,0.000,0.909,1.000,0.547,0.745,0.188,0.000,0.117
0.614,0.452,0.118,0.028,0.343,0.042,0.059,0.000,0.000,0.000,0.000,0.610,0.053,0.114,0.000,0.000,0.000,0.000,0.000,0.745,0.180,0.000,0.279,0.213,0.464,0.000,1.000,0.000,0.000,0.281,0.000,,0.092,0.146,0.000,0.000,0.909,1.000,0.547,0.745,0.188,0.000,0.117
0.614,0.476,0.075,0.010,0.414,0.037,0.084,0.000,0.000,0.000,0.000,0.610,0.053,0.114,0.000,0.000,0.000,0.000,0.000,0.745,0.180,0.000,0.279,0.213,0.464,0.000,1.000,0.000,0.000,0.281,0.000,,0.055,0.069,0.000,0.000,0.909,1.000,0.547,0.745,0.188,0.000,0.117
0.568,0.381,0.065,0.023,0.414,0.044,0.084,0.000,0.000,0.000,0.000,0.610,0.053,0.114,0.000,0.000,0.000,0.000,0.000,0.745,0.180,0.000,0.279,0.213,0.464,0.000,1.000,0.000,0.000,0.281,0.000,,0.052,0.064,0.000,0.000,0.909,1.000,0.547,0.745,0.188,0.000,0.117
0.614,0.429,0.202,0.050,0.371,0.079,0.084,0.000,0.000,0.000,0.000,0.610,0.053,0.114,0.000,0.000,0.000,0.000,0.000,0.745,0.180,0.000,0.279,0.213,0.464,0.000,1.000,0.000,0.000,0.281,0.000,,0.160,0.162,0.000,0.000,0.909,1.000,0.547,0.745,0.188,0.000,0.117
0.568,0.393,0.084,0.003,0.329,0.035,0.099,0.185,0.039,0.151,0.177,0.000,0.000,1.000,0.541,0.146,0.197,0.246,0.178,0.421,0.081,0.178,0.137,0.228,0.607,0.903,0.039,0.173,0.000,0.000,0.193,,0.059,0.065,0.141,0.031,0.000,0.365,1.000,1.000,0.000,0.190,0.195
